Reference,Value,Datasheet,Footprint,Qty,DNP,Unit Cost,Total/PCB,Purchase
BT1,Battery_Cell,~,Battery:BatteryHolder_Keystone_3034_1x20mm,1,,28,,https://in.element14.com/keystone/3034/batt-holder-coil-cell-20mm-x-1/dp/4049820?srsltid=AfmBOopoGS50_OERGM8zXfrKTUVY9QqCGdSux7s0e8dKiZLl5Z4YA2VI
C1,100uF/6.3V,~,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,,12.1,,https://www.ktron.in/product/100uf-6-3v-multi-layered-ceramic-capacitor/?srsltid=AfmBOoqAA5xv90O2To0e0GTSYJB_yB4kzxtcCVNiObzbCHWj57NTgc2Z&v=c86ee0d9d7ed
C2,1uF/50V,~,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,,2.1,,https://www.ktron.in/product/1uf-50v-multi-layered-ceramic-capacitor/?utm_term&utm_campaign=smartShoppingAds4&utm_source=adwords&utm_medium=ppc&hsa_acc=6332829093&hsa_cam=18276269511&hsa_grp&hsa_ad&hsa_src=x&hsa_tgt&hsa_kw&hsa_mt&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=EAIaIQobChMI2LHLh4O5igMVjhB7Bx3JVgMlEAQYASABEgJV5fD_BwE&v=c86ee0d9d7ed
"C3,C5",1nF/50V,~,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,,0.5,,https://www.ktron.in/product/1nf-50v-multi-layered-ceramic-capacitor-mlcc-smd-0603/?utm_term&utm_campaign=smartShoppingAds4&utm_source=adwords&utm_medium=ppc&hsa_acc=6332829093&hsa_cam=18276269511&hsa_grp&hsa_ad&hsa_src=x&hsa_tgt&hsa_kw&hsa_mt&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=EAIaIQobChMI_pbumIO5igMVzIi5BR2f-SfsEAQYASABEgJEGfD_BwE&v=c86ee0d9d7ed
C4,1uF/10V,~,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,,1.06,,https://evelta.com/1uf-10v-10-x5r-0402-mlcc-multilayer-ceramic-capacitor-cl05a105kp5nnnc/?utm_source=google&utm_campaign=19958243666&utm_medium=ad&utm_content=&utm_term=&gad_source=1&gclid=EAIaIQobChMIpYDmqYO5igMVXtoWBR0PiBeoEAQYAiABEgJwWfD_BwE
"C6,C8,C10,C12,C13,C14,C22",1uF,~,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,7,,,,
C7,10uF/25V,~,Capacitor_SMD:CP_Elec_4x5.3,1,,,,
C9,470uF 35V,~,Capacitor_SMD:CP_Elec_10x10.5,1,,,,
C11,100uF 16V,~,Capacitor_SMD:CP_Elec_8x10.5,1,,,,
C15,100uF 10V,~,Capacitor_SMD:CP_Elec_8x6.9,1,,,,
"C16,C17,C18,C19",1nF,~,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4,,,,
